COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
id	char	36	NO	PRI	NULL
date_entered	datetime	NULL	YES		NULL
date_modified	datetime	NULL	YES		NULL
created_by	char	36	YES		NULL
modified_user_id	char	36	YES		NULL
assigned_user_id	char	36	YES	MUL	NULL
deleted	tinyint	NULL	YES		0
case_number	int	NULL	NO	MUL	NULL
name	varchar	255	YES	MUL	NULL
account_id	char	36	YES		NULL
contact_id	char	36	YES	MUL	NULL
status	varchar	100	YES	MUL	NULL
priority	varchar	100	YES		NULL
type	varchar	255	YES		NULL
description	text	65535	YES		NULL
resolution	text	65535	YES		NULL
