COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
id	char	36	NO	PRI	NULL
date_entered	datetime	NULL	YES		NULL
date_modified	datetime	NULL	YES		NULL
created_by	char	36	YES		NULL
modified_user_id	char	36	YES		NULL
assigned_user_id	char	36	YES	MUL	NULL
deleted	tinyint	NULL	YES	MUL	0
salutation	varchar	255	YES		NULL
first_name	varchar	100	YES		NULL
last_name	varchar	100	YES	MUL	NULL
title	varchar	100	YES		NULL
department	varchar	100	YES		NULL
phone_work	varchar	100	YES		NULL
phone_mobile	varchar	100	YES		NULL
email1	varchar	100	YES	MUL	NULL
primary_address_street	varchar	150	YES		NULL
primary_address_city	varchar	100	YES		NULL
primary_address_state	varchar	100	YES		NULL
primary_address_postalcode	varchar	20	YES		NULL
primary_address_country	varchar	255	YES		NULL
status	varchar	100	YES	MUL	NULL
status_description	text	65535	YES		NULL
lead_source	varchar	100	YES		NULL
lead_source_description	text	65535	YES		NULL
description	text	65535	YES		NULL
account_name	varchar	255	YES		NULL
website	varchar	255	YES		NULL
ai_score	int	NULL	YES		0
ai_score_date	datetime	NULL	YES		NULL
ai_insights	json	NULL	YES		NULL
ai_next_best_action	varchar	255	YES		NULL
